Te, Ar+0, Ar+1, Ar+2, Ar+3, Ar+4, Ar+5, Ar+6, Ar+7, Ar+8, Ar+9, Ar+10, Ar+11, Ar+12, Ar+13, Ar+14, Ar+15, Ar+16, Ar+17, Ar+18
5.4772e+00, 6.7162e-07, 3.8006e-03, 3.1268e-01, 6.7062e-01, 1.2892e-02, 4.6859e-06, 1.7519e-11, 4.2097e-19, 8.0186e-29, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36
6.0535e+00, 3.2324e-07, 1.9938e-03, 2.1177e-01, 7.5230e-01, 3.3886e-02, 4.0275e-05, 6.7583e-10, 1.5745e-16, 4.0154e-25, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36
6.6904e+00, 1.5230e-07, 1.0322e-03, 1.3942e-01, 7.8295e-01, 7.6334e-02, 2.6562e-04, 1.7546e-08, 3.1974e-14, 8.6724e-22, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36
7.3943e+00, 6.9540e-08, 5.2212e-04, 8.8705e-02, 7.5925e-01, 1.5013e-01, 1.3913e-03, 3.2227e-07, 3.7897e-12, 8.8577e-19, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36
8.1722e+00, 3.0334e-08, 2.5390e-04, 5.3854e-02, 6.8191e-01, 2.5811e-01, 5.8695e-03, 4.2982e-06, 2.7631e-10, 4.5877e-16, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36
9.0320e+00, 1.2444e-08, 1.1669e-04, 3.0740e-02, 5.6197e-01, 3.8702e-01, 2.0114e-02, 4.2453e-05, 1.2879e-08, 1.2735e-13, 3.3828e-32, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36
9.9823e+00, 4.7434e-09, 5.0078e-05, 1.6305e-02, 4.2153e-01, 5.0544e-01, 5.6361e-02, 3.1555e-04, 3.9179e-07, 1.9670e-11, 3.6766e-28, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36
1.1033e+01, 1.6627e-09, 1.9864e-05, 7.9555e-03, 2.8576e-01, 5.7449e-01, 1.2997e-01, 1.7920e-03, 7.9322e-06, 1.7519e-09, 1.8611e-24, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36
1.2193e+01, 5.3125e-10, 7.2148e-06, 3.5400e-03, 1.7397e-01, 5.6698e-01, 2.4754e-01, 7.8477e-03, 1.0874e-04, 9.2834e-08, 4.5185e-21, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36
1.3476e+01, 1.5366e-10, 2.3816e-06, 1.4268e-03, 9.4651e-02, 4.8525e-01, 3.9089e-01, 2.6745e-02, 1.0278e-03, 3.0200e-06, 4.6225e-18, 4.8163e-32, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36
