Te, Ar+0, Ar+1, Ar+2, Ar+3, Ar+4, Ar+5, Ar+6, Ar+7, Ar+8, Ar+9, Ar+10, Ar+11, Ar+12, Ar+13, Ar+14, Ar+15, Ar+16, Ar+17, Ar+18
1.6403e+03, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0847e-33, 8.8326e-29, 1.8660e-24, 6.3548e-20, 3.4193e-17, 1.2413e-14, 2.9620e-12, 4.9010e-10, 6.4465e-08, 8.7655e-06, 5.9348e-04, 3.3173e-02, 6.4514e-01, 2.7852e-01, 4.2559e-02
1.8128e+03, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.5310e-34, 1.4181e-29, 3.4233e-25, 1.3443e-20, 8.3586e-18, 3.5536e-15, 9.9644e-13, 1.9437e-10, 3.0282e-08, 4.8884e-06, 3.9424e-04, 2.6336e-02, 5.6390e-01, 3.3522e-01, 7.4145e-02
2.0036e+03, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 2.1392e-35, 2.2517e-30, 6.2036e-26, 2.8044e-21, 2.0131e-18, 1.0003e-15, 3.2887e-13, 7.5444e-11, 1.3880e-08, 2.6515e-06, 2.5379e-04, 2.0182e-02, 4.7705e-01, 3.8291e-01, 1.1959e-01
2.2143e+03, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 2.9497e-36, 3.5244e-31, 1.1072e-26, 5.7532e-22, 4.7629e-19, 2.7609e-16, 1.0621e-13, 2.8585e-11, 6.1938e-09, 1.3957e-06, 1.5802e-04, 1.4906e-02, 3.9010e-01, 4.1559e-01, 1.7924e-01
2.4473e+03, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 5.4386e-32, 1.9462e-27, 1.1605e-22, 1.1069e-19, 7.4720e-17, 3.3561e-14, 1.0575e-11, 2.6915e-09, 7.1335e-07, 9.5237e-05, 1.0619e-02, 3.0864e-01, 4.2982e-01, 2.5082e-01
2.7048e+03, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 8.2928e-33, 3.3770e-28, 2.3069e-23, 2.5327e-20, 1.9873e-17, 1.0402e-14, 3.8288e-12, 1.1420e-09, 3.5500e-07, 5.5720e-05, 7.3204e-03, 2.3700e-01, 4.2568e-01, 3.2995e-01
2.9894e+03, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.2542e-33, 5.8062e-29, 4.5370e-24, 5.7278e-21, 5.2158e-18, 3.1756e-15, 1.3627e-12, 4.7520e-10, 1.7282e-07, 3.1801e-05, 4.9080e-03, 1.7748e-01, 4.0625e-01, 4.1133e-01
3.3039e+03, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.8899e-34, 9.9376e-30, 8.8725e-25, 1.2868e-21, 1.3577e-18, 9.5991e-16, 4.7934e-13, 1.9500e-10, 8.2763e-08, 1.7808e-05, 3.2193e-03, 1.3037e-01, 3.7625e-01, 4.9014e-01
3.6515e+03, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 2.8516e-35, 1.7016e-30, 1.7342e-25, 2.8868e-22, 3.5239e-19, 2.8883e-16, 1.6753e-13, 7.9344e-11, 3.9211e-08, 9.8411e-06, 2.0784e-03, 9.4485e-02, 3.4051e-01, 5.6292e-01
4.0357e+03, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 4.3292e-36, 2.9292e-31, 3.4040e-26, 6.4977e-23, 9.1634e-20, 8.6936e-17, 5.8475e-14, 3.2179e-11, 1.8476e-08, 5.3961e-06, 1.3280e-03, 6.7913e-02, 3.0298e-01, 6.2777e-01
4.4602e+03, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 5.0897e-32, 6.7358e-27, 1.4731e-23, 2.3968e-20, 2.6281e-17, 2.0465e-14, 1.3061e-11, 8.6950e-09, 2.9487e-06, 8.4356e-04, 4.8621e-02, 2.6643e-01, 6.8410e-01
4.9295e+03, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 8.9511e-33, 1.3477e-27, 3.3739e-24, 6.3247e-21, 8.0041e-18, 7.2046e-15, 5.3237e-12, 4.1010e-09, 1.6115e-06, 5.3468e-04, 3.4790e-02, 2.3249e-01, 7.3218e-01
5.4481e+03, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.5963e-33, 2.7315e-28, 7.8216e-25, 1.6873e-21, 2.4611e-18, 2.5569e-15, 2.1839e-12, 1.9432e-09, 8.8308e-07, 3.3907e-04, 2.4941e-02, 2.0193e-01, 7.7279e-01
6.0213e+03, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 2.8908e-34, 5.6166e-29, 1.8380e-25, 4.5575e-22, 7.6518e-19, 9.1632e-16, 9.0320e-13, 9.2665e-10, 4.8611e-07, 2.1556e-04, 1.7945e-02, 1.7498e-01, 8.0686e-01
6.6548e+03, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 5.3217e-35, 1.1726e-29, 4.3819e-26, 1.2474e-22, 2.4078e-19, 3.3190e-16, 3.7699e-13, 4.4523e-10, 2.6914e-07, 1.3756e-04, 1.2973e-02, 1.5151e-01, 8.3538e-01
7.3550e+03, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 9.9604e-36, 2.4863e-30, 1.0602e-26, 3.4614e-23, 7.6718e-20, 1.2158e-16, 1.5890e-13, 2.1569e-10, 1.4999e-07, 8.8195e-05, 9.4300e-03, 1.3125e-01, 8.5923e-01
8.1288e+03, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.8947e-36, 5.3544e-31, 2.6033e-27, 9.7372e-24, 2.4754e-20, 4.5042e-17, 6.7650e-14, 1.0539e-10, 8.4176e-08, 5.6842e-05, 6.8949e-03, 1.1382e-01, 8.7922e-01
8.9840e+03, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.1709e-31, 6.4863e-28, 2.7766e-24, 8.0878e-21, 1.6878e-17, 2.9093e-14, 5.1943e-11, 4.7581e-08, 3.6838e-05, 5.0715e-03, 9.8878e-02, 8.9601e-01
9.9293e+03, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 2.5993e-32, 1.6395e-28, 8.0246e-25, 2.6754e-21, 6.3964e-18, 1.2638e-14, 2.5825e-11, 2.7092e-08, 2.4010e-05, 3.7529e-03, 8.6066e-02, 9.1016e-01
1.0974e+04, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 5.8559e-33, 4.2025e-29, 2.3498e-25, 8.9580e-22, 2.4510e-18, 5.5446e-15, 1.2951e-11, 1.5539e-08, 1.5739e-05, 2.7935e-03, 7.5076e-02, 9.2212e-01
1.2128e+04, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.3381e-33, 1.0919e-29, 6.9685e-26, 3.0348e-22, 9.4929e-19, 2.4559e-15, 6.5489e-12, 8.9754e-09, 1.0375e-05, 2.0912e-03, 6.5635e-02, 9.3226e-01
1.3405e+04, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 3.0997e-34, 2.8742e-30, 2.0918e-26, 1.0397e-22, 3.7145e-19, 1.0979e-15, 3.3384e-12, 5.2198e-09, 6.8766e-06, 1.5741e-03, 5.7508e-02, 9.4091e-01
1.4815e+04, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 7.2745e-35, 7.6601e-31, 6.3523e-27, 3.6004e-23, 1.4678e-19, 4.9511e-16, 1.7150e-12, 3.0556e-09, 4.5819e-06, 1.1909e-03, 5.0497e-02, 9.4831e-01
1.6373e+04, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.7288e-35, 2.0660e-31, 1.9507e-27, 1.2597e-23, 5.8553e-20, 2.2518e-16, 8.8757e-13, 1.8001e-09, 3.0684e-06, 9.0552e-04, 4.4433e-02, 9.5466e-01
1.8096e+04, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 4.1579e-36, 5.6363e-32, 6.0545e-28, 4.4513e-24, 2.3568e-20, 1.0324e-16, 4.6260e-13, 1.0668e-09, 2.0648e-06, 6.9168e-04, 3.9175e-02, 9.6013e-01
2.0000e+04, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0115e-36, 1.5544e-32, 1.8983e-28, 1.5877e-24, 9.5674e-21, 4.7699e-17, 2.4273e-13, 6.3590e-10, 1.3959e-06, 5.3065e-04, 3.4605e-02, 9.6486e-01
