Te, N+0, N+1, N+2, N+3, N+4, N+5, N+6, N+7
1.9971e+01, 1.3235e-15, 6.2570e-10, 3.3160e-06, 1.8744e-03, 8.4801e-02, 9.1332e-01, 1.5752e-11, 3.4313e-25
2.1565e+01, 3.6916e-16, 1.9749e-10, 1.2673e-06, 9.1972e-04, 5.8386e-02, 9.4069e-01, 1.3676e-10, 3.7643e-23
2.3286e+01, 1.0827e-16, 6.5408e-11, 5.0494e-07, 4.6528e-04, 4.0658e-02, 9.5888e-01, 1.0145e-09, 2.9548e-21
2.5144e+01, 3.3389e-17, 2.2734e-11, 2.0986e-07, 2.4304e-04, 2.8721e-02, 9.7104e-01, 6.5204e-09, 1.7016e-19
2.7151e+01, 1.0814e-17, 8.2805e-12, 9.0892e-08, 1.3108e-04, 2.0614e-02, 9.7926e-01, 3.6760e-08, 7.3605e-18
2.9317e+01, 3.6696e-18, 3.1535e-12, 4.0946e-08, 7.2926e-05, 1.5040e-02, 9.8489e-01, 1.8390e-07, 2.4467e-16
3.1657e+01, 1.3015e-18, 1.2523e-12, 1.9143e-08, 4.1799e-05, 1.1158e-02, 9.8880e-01, 8.2506e-07, 6.3873e-15
3.4183e+01, 4.8179e-19, 5.1794e-13, 9.2793e-09, 2.4674e-05, 8.4215e-03, 9.9155e-01, 3.3455e-06, 1.3317e-13
3.6911e+01, 1.8609e-19, 2.2298e-13, 4.6632e-09, 1.5006e-05, 6.4728e-03, 9.9350e-01, 1.2333e-05, 2.2486e-12
3.9857e+01, 7.4958e-20, 9.9870e-14, 2.4290e-09, 9.4036e-06, 5.0700e-03, 9.9488e-01, 4.1572e-05, 3.1174e-11
4.3037e+01, 3.1466e-20, 4.6504e-14, 1.3109e-09, 6.0726e-06, 4.0500e-03, 9.9582e-01, 1.2886e-04, 3.5971e-10
4.6472e+01, 1.3755e-20, 2.2495e-14, 7.3272e-10, 4.0411e-06, 3.3010e-03, 9.9633e-01, 3.6931e-04, 3.5018e-09
5.0180e+01, 6.2560e-21, 1.1293e-14, 4.2389e-10, 2.7706e-06, 2.7465e-03, 9.9627e-01, 9.8399e-04, 2.9146e-08
5.4184e+01, 2.9567e-21, 5.8763e-15, 2.5358e-10, 1.9560e-06, 2.3323e-03, 9.9522e-01, 2.4482e-03, 2.0989e-07
5.8508e+01, 1.4494e-21, 3.1647e-15, 1.5659e-10, 1.4201e-06, 2.0188e-03, 9.9228e-01, 5.6993e-03, 1.3170e-06
6.3177e+01, 7.3505e-22, 1.7597e-15, 9.9573e-11, 1.0580e-06, 1.7769e-03, 9.8579e-01, 1.2423e-02, 7.2395e-06
6.8219e+01, 3.8414e-22, 1.0067e-15, 6.4959e-11, 8.0614e-07, 1.5848e-03, 9.7304e-01, 2.5343e-02, 3.5007e-05
7.3663e+01, 2.0577e-22, 5.8957e-16, 4.3249e-11, 6.2519e-07, 1.4250e-03, 9.5013e-01, 4.8297e-02, 1.4931e-04
7.9541e+01, 1.1202e-22, 3.5068e-16, 2.9163e-11, 4.8975e-07, 1.2823e-03, 9.1243e-01, 8.5724e-02, 5.6238e-04
8.5889e+01, 6.1332e-23, 2.0981e-16, 1.9729e-11, 3.8387e-07, 1.1445e-03, 8.5581e-01, 1.4118e-01, 1.8703e-03
9.2743e+01, 3.3416e-23, 1.2505e-16, 1.3265e-11, 2.9823e-07, 1.0039e-03, 7.7858e-01, 2.1493e-01, 5.4919e-03
1.0014e+02, 1.7950e-23, 7.3620e-17, 8.7926e-12, 2.2778e-07, 8.5891e-04, 6.8317e-01, 3.0171e-01, 1.4257e-02
1.0814e+02, 9.4423e-24, 4.2541e-17, 5.7105e-12, 1.6997e-07, 7.1263e-04, 5.7607e-01, 3.9039e-01, 3.2820e-02
1.1676e+02, 4.8471e-24, 2.4011e-17, 3.6166e-12, 1.2333e-07, 5.7107e-04, 4.6579e-01, 4.6636e-01, 6.7282e-02
1.2608e+02, 2.4223e-24, 1.3182e-17, 2.2245e-12, 8.6669e-08, 4.4056e-04, 3.6059e-01, 5.1555e-01, 1.2342e-01
1.3614e+02, 1.1765e-24, 7.0148e-18, 1.3242e-12, 5.8776e-08, 3.2630e-04, 2.6703e-01, 5.2899e-01, 2.0365e-01
1.4701e+02, 5.5515e-25, 3.6109e-18, 7.6147e-13, 3.8394e-08, 2.3175e-04, 1.8928e-01, 5.0608e-01, 3.0440e-01
1.5874e+02, 2.5513e-25, 1.7997e-18, 4.2338e-13, 2.4183e-08, 1.5812e-04, 1.2889e-01, 4.5478e-01, 4.1617e-01
1.7141e+02, 1.1451e-25, 8.7272e-19, 2.2874e-13, 1.4760e-08, 1.0419e-04, 8.4941e-02, 3.8797e-01, 5.2699e-01
1.8509e+02, 5.0358e-26, 4.1477e-19, 1.2097e-13, 8.7972e-09, 6.6812e-05, 5.4719e-02, 3.1822e-01, 6.2699e-01
1.9986e+02, 2.1772e-26, 1.9459e-19, 6.3083e-14, 5.1582e-09, 4.2009e-05, 3.4798e-02, 2.5416e-01, 7.1100e-01
2.1581e+02, 9.2825e-27, 9.0692e-20, 3.2643e-14, 2.9949e-09, 2.6071e-05, 2.2030e-02, 1.9982e-01, 7.7812e-01
2.3303e+02, 3.9307e-27, 4.2285e-20, 1.6880e-14, 1.7341e-09, 1.6086e-05, 1.3982e-02, 1.5597e-01, 8.3003e-01
2.5162e+02, 1.6639e-27, 1.9832e-20, 8.7711e-15, 1.0068e-09, 9.9250e-06, 8.9409e-03, 1.2162e-01, 8.6943e-01
2.7170e+02, 7.0720e-28, 9.3882e-21, 4.5952e-15, 5.8822e-10, 6.1459e-06, 5.7771e-03, 9.5114e-02, 8.9910e-01
2.9338e+02, 3.0266e-28, 4.4942e-21, 2.4319e-15, 3.4644e-10, 3.8276e-06, 3.7768e-03, 7.4795e-02, 9.2142e-01
3.1680e+02, 1.3064e-28, 2.1772e-21, 1.3010e-15, 2.0585e-10, 2.3998e-06, 2.4987e-03, 5.9220e-02, 9.3828e-01
