Te, C+0, C+1, C+2, C+3, C+4, C+5, C+6
2.9317e+01, 5.2090e-17, 2.5320e-11, 7.9992e-07, 1.9715e-03, 9.9781e-01, 2.1928e-04, 3.2644e-10
3.1657e+01, 2.7159e-17, 1.4730e-11, 5.3321e-07, 1.5895e-03, 9.9778e-01, 6.3300e-04, 3.5028e-09
3.4183e+01, 1.4653e-17, 8.8567e-12, 3.6589e-07, 1.3070e-03, 9.9699e-01, 1.6977e-03, 3.1921e-08
3.6911e+01, 8.1674e-18, 5.4960e-12, 2.5815e-07, 1.0951e-03, 9.9466e-01, 4.2414e-03, 2.4910e-07
3.9857e+01, 4.6908e-18, 3.5115e-12, 1.8690e-07, 9.3327e-04, 9.8918e-01, 9.8875e-03, 1.6769e-06
4.3037e+01, 2.7651e-18, 2.3016e-12, 1.3839e-07, 8.0644e-04, 9.7767e-01, 2.1516e-02, 9.7959e-06
4.6472e+01, 1.6631e-18, 1.5388e-12, 1.0424e-07, 7.0295e-04, 9.5561e-01, 4.3634e-02, 4.9863e-05
5.0180e+01, 1.0123e-18, 1.0410e-12, 7.9273e-08, 6.1351e-04, 9.1702e-01, 8.2148e-02, 2.2153e-04
5.4184e+01, 6.1719e-19, 7.0552e-13, 6.0263e-08, 5.3098e-04, 8.5592e-01, 1.4269e-01, 8.5828e-04
5.8508e+01, 3.7292e-19, 4.7384e-13, 4.5307e-08, 4.5088e-04, 7.6961e-01, 2.2704e-01, 2.8901e-03
6.3177e+01, 2.2146e-19, 3.1272e-13, 3.3402e-08, 3.7250e-04, 6.6185e-01, 3.2933e-01, 8.4477e-03
6.8219e+01, 1.2877e-19, 2.0202e-13, 2.4054e-08, 2.9826e-04, 5.4291e-01, 4.3529e-01, 2.1501e-02
7.3663e+01, 7.3342e-20, 1.2776e-13, 1.6921e-08, 2.3152e-04, 4.2543e-01, 5.2632e-01, 4.8010e-02
7.9541e+01, 4.0895e-20, 7.9072e-14, 1.1627e-08, 1.7421e-04, 3.1929e-01, 5.8565e-01, 9.4883e-02
8.5889e+01, 2.2258e-20, 4.7763e-14, 7.7854e-09, 1.2680e-04, 2.2978e-01, 6.0283e-01, 1.6726e-01
