Te, Ne+0, Ne+1, Ne+2, Ne+3, Ne+4, Ne+5, Ne+6, Ne+7, Ne+8, Ne+9, Ne+10
9.2676e+00, 6.7831e-09, 4.0383e-04, 2.2553e-01, 7.4773e-01, 2.6334e-02, 6.0946e-06, 9.7097e-12, 2.2769e-19, 1.4757e-28, 1.0000e-36, 1.0000e-36
1.0007e+01, 2.3549e-09, 1.6734e-04, 1.3475e-01, 8.0397e-01, 6.1076e-02, 4.1188e-05, 2.1447e-10, 2.8125e-17, 1.2264e-25, 1.0000e-36, 1.0000e-36
1.0806e+01, 8.1782e-10, 6.8796e-05, 7.7928e-02, 7.9818e-01, 1.2359e-01, 2.2524e-04, 3.7996e-09, 2.4336e-15, 6.2201e-23, 1.0000e-36, 1.0000e-36
1.1668e+01, 2.8322e-10, 2.8017e-05, 4.3663e-02, 7.3503e-01, 2.2026e-01, 1.0111e-03, 5.4800e-08, 1.5116e-13, 1.9913e-20, 1.0000e-36, 1.0000e-36
1.2599e+01, 9.6838e-11, 1.1207e-05, 2.3556e-02, 6.2631e-01, 3.4637e-01, 3.7508e-03, 6.3343e-07, 6.7047e-12, 4.0445e-18, 1.0000e-36, 1.0000e-36
1.3605e+01, 3.2434e-11, 4.3742e-06, 1.2185e-02, 4.9362e-01, 4.8258e-01, 1.1602e-02, 5.7895e-06, 2.1167e-10, 5.2484e-16, 1.0000e-36, 1.0000e-36
1.4690e+01, 1.0620e-11, 1.6652e-06, 6.0548e-03, 3.6187e-01, 6.0166e-01, 3.0368e-02, 4.1527e-05, 4.7693e-09, 4.4087e-14, 1.0000e-36, 1.0000e-36
1.5863e+01, 3.4025e-12, 6.1957e-07, 2.9027e-03, 2.4877e-01, 6.7967e-01, 6.8425e-02, 2.3307e-04, 7.7255e-08, 2.4387e-12, 1.0000e-36, 1.0000e-36
1.7128e+01, 1.0668e-12, 2.2543e-07, 1.3455e-03, 1.6137e-01, 7.0187e-01, 1.3437e-01, 1.0395e-03, 9.2124e-07, 9.1557e-11, 1.0000e-36, 1.0000e-36
1.8495e+01, 3.2626e-13, 7.9931e-08, 6.0171e-04, 9.8950e-02, 6.6514e-01, 2.3154e-01, 3.7669e-03, 8.3316e-06, 2.4147e-09, 2.6695e-35, 1.0000e-36
1.9971e+01, 9.6799e-14, 2.7465e-08, 2.5849e-04, 5.7345e-02, 5.7939e-01, 3.5163e-01, 1.1319e-02, 5.8752e-05, 4.6206e-08, 3.6913e-32, 1.0000e-36
2.1565e+01, 2.7788e-14, 9.1195e-09, 1.0649e-04, 3.1463e-02, 4.6560e-01, 4.7372e-01, 2.8779e-02, 3.3186e-04, 6.6201e-07, 2.8158e-29, 1.0000e-36
2.3286e+01, 7.7480e-15, 2.9369e-09, 4.2256e-05, 1.6422e-02, 3.4752e-01, 5.7165e-01, 6.2824e-02, 1.5292e-03, 7.2666e-06, 1.2530e-26, 1.0000e-36
2.5144e+01, 2.1090e-15, 9.2181e-10, 1.6239e-05, 8.1950e-03, 2.4263e-01, 6.2404e-01, 1.1923e-01, 5.8374e-03, 6.2341e-05, 3.3944e-24, 1.0000e-36
2.7151e+01, 5.6086e-16, 2.8216e-10, 6.0514e-06, 3.9134e-03, 1.5889e-01, 6.1976e-01, 1.9834e-01, 1.8665e-02, 4.2465e-04, 5.8180e-22, 1.0000e-36
2.9317e+01, 1.4478e-16, 8.3665e-11, 2.1733e-06, 1.7768e-03, 9.7162e-02, 5.5906e-01, 2.8949e-01, 5.0185e-02, 2.3163e-03, 6.5095e-20, 1.0000e-36
3.1657e+01, 3.5736e-17, 2.3670e-11, 7.4132e-07, 7.5563e-04, 5.4767e-02, 4.5345e-01, 3.6798e-01, 1.1293e-01, 1.0115e-02, 4.8594e-18, 8.2831e-36
3.4183e+01, 8.2443e-18, 6.2458e-12, 2.3485e-07, 2.9467e-04, 2.7894e-02, 3.2488e-01, 4.0165e-01, 2.1021e-01, 3.5067e-02, 2.4343e-16, 9.1955e-33
3.6911e+01, 1.7343e-18, 1.4999e-12, 6.7438e-08, 1.0303e-04, 1.2567e-02, 2.0164e-01, 3.7078e-01, 3.1944e-01, 9.5475e-02, 8.1738e-15, 4.7898e-30
3.9857e+01, 3.2805e-19, 3.2328e-13, 1.7315e-08, 3.1923e-05, 4.9544e-03, 1.0745e-01, 2.8817e-01, 3.9528e-01, 2.0412e-01, 1.8571e-13, 1.2637e-27
