Te, B+0, B+1, B+2, B+3, B+4, B+5
5.0180e+01, 3.3531e-15, 2.6083e-09, 5.9851e-05, 2.2042e-01, 6.7325e-01, 1.0627e-01
5.4184e+01, 2.0608e-15, 1.8101e-09, 4.7435e-05, 1.5969e-01, 6.5437e-01, 1.8589e-01
5.8508e+01, 1.2190e-15, 1.2072e-09, 3.6063e-05, 1.1201e-01, 5.9487e-01, 2.9308e-01
6.3177e+01, 6.8917e-16, 7.6832e-10, 2.6119e-05, 7.5618e-02, 5.0629e-01, 4.1806e-01
6.8219e+01, 3.7218e-16, 4.6641e-10, 1.8015e-05, 4.9144e-02, 4.0618e-01, 5.4465e-01
7.3663e+01, 1.9365e-16, 2.7241e-10, 1.1936e-05, 3.1013e-02, 3.1119e-01, 6.5778e-01
7.9541e+01, 9.8258e-17, 1.5495e-10, 7.6896e-06, 1.9233e-02, 2.3132e-01, 7.4944e-01
8.5889e+01, 4.9174e-17, 8.6812e-11, 4.8727e-06, 1.1853e-02, 1.6927e-01, 8.1887e-01
9.2743e+01, 2.4501e-17, 4.8361e-11, 3.0658e-06, 7.3233e-03, 1.2327e-01, 8.6941e-01
1.0014e+02, 1.2227e-17, 2.6951e-11, 1.9270e-06, 4.5618e-03, 8.9954e-02, 9.0548e-01
1.0814e+02, 6.1321e-18, 1.5076e-11, 1.2141e-06, 2.8731e-03, 6.6063e-02, 9.3106e-01
1.1676e+02, 3.0992e-18, 8.4890e-12, 7.6909e-07, 1.8340e-03, 4.8978e-02, 9.4919e-01
1.2608e+02, 1.5812e-18, 4.8201e-12, 4.9068e-07, 1.1879e-03, 3.6727e-02, 9.6208e-01
1.3614e+02, 8.1504e-19, 2.7621e-12, 3.1560e-07, 7.8111e-04, 2.7883e-02, 9.7134e-01
1.4701e+02, 4.2457e-19, 1.5980e-12, 2.0468e-07, 5.2124e-04, 2.1432e-02, 9.7805e-01
1.5874e+02, 2.2349e-19, 9.3330e-13, 1.3383e-07, 3.5275e-04, 1.6673e-02, 9.8297e-01
1.7141e+02, 1.1883e-19, 5.5011e-13, 8.8192e-08, 2.4190e-04, 1.3120e-02, 9.8664e-01
1.8509e+02, 6.3791e-20, 3.2706e-13, 5.8552e-08, 1.6797e-04, 1.0437e-02, 9.8940e-01
1.9986e+02, 3.4549e-20, 1.9602e-13, 3.9152e-08, 1.1802e-04, 8.3889e-03, 9.9149e-01
2.1581e+02, 1.8866e-20, 1.1836e-13, 2.6357e-08, 8.3847e-05, 6.8087e-03, 9.9311e-01
2.3303e+02, 1.0384e-20, 7.1973e-14, 1.7858e-08, 6.0185e-05, 5.5766e-03, 9.9436e-01
2.5162e+02, 5.7590e-21, 4.4069e-14, 1.2172e-08, 4.3616e-05, 4.6060e-03, 9.9535e-01
2.7170e+02, 3.2175e-21, 2.7163e-14, 8.3439e-09, 3.1892e-05, 3.8341e-03, 9.9613e-01
2.9338e+02, 1.8105e-21, 1.6851e-14, 5.7515e-09, 2.3518e-05, 3.2155e-03, 9.9676e-01
3.1680e+02, 1.0258e-21, 1.0519e-14, 3.9861e-09, 1.7484e-05, 2.7161e-03, 9.9727e-01
3.4208e+02, 5.8507e-22, 6.6060e-15, 2.7771e-09, 1.3098e-05, 2.3099e-03, 9.9768e-01
3.6938e+02, 3.3573e-22, 4.1714e-15, 1.9439e-09, 9.8812e-06, 1.9764e-03, 9.9801e-01
3.9885e+02, 1.9371e-22, 2.6469e-15, 1.3663e-09, 7.5002e-06, 1.7001e-03, 9.9829e-01
4.3068e+02, 1.1232e-22, 1.6869e-15, 9.6386e-10, 5.7241e-06, 1.4692e-03, 9.9853e-01
4.6505e+02, 6.5439e-23, 1.0797e-15, 6.8238e-10, 4.3916e-06, 1.2753e-03, 9.9872e-01
5.0216e+02, 3.8306e-23, 6.9403e-16, 4.8487e-10, 3.3865e-06, 1.1117e-03, 9.9888e-01
5.4223e+02, 2.2529e-23, 4.4803e-16, 3.4578e-10, 2.6245e-06, 9.7323e-04, 9.9902e-01
5.8550e+02, 1.3311e-23, 2.9041e-16, 2.4744e-10, 2.0434e-06, 8.5531e-04, 9.9914e-01
6.3223e+02, 7.9009e-24, 1.8896e-16, 1.7765e-10, 1.5979e-06, 7.5434e-04, 9.9924e-01
6.8268e+02, 4.7106e-24, 1.2340e-16, 1.2793e-10, 1.2545e-06, 6.6746e-04, 9.9933e-01
7.3716e+02, 2.8199e-24, 8.0869e-17, 9.2397e-11, 9.8868e-07, 5.9237e-04, 9.9941e-01
7.9599e+02, 1.6942e-24, 5.3176e-17, 6.6923e-11, 7.8197e-07, 5.2723e-04, 9.9947e-01
8.5951e+02, 1.0212e-24, 3.5081e-17, 4.8605e-11, 6.2058e-07, 4.7050e-04, 9.9953e-01
9.2810e+02, 6.1753e-25, 2.3215e-17, 3.5393e-11, 4.9407e-07, 4.2090e-04, 9.9958e-01
1.0022e+03, 3.7463e-25, 1.5409e-17, 2.5836e-11, 3.9452e-07, 3.7738e-04, 9.9962e-01
1.0821e+03, 2.2802e-25, 1.0256e-17, 1.8904e-11, 3.1592e-07, 3.3905e-04, 9.9966e-01
1.1685e+03, 1.3923e-25, 6.8458e-18, 1.3865e-11, 2.5367e-07, 3.0523e-04, 9.9969e-01
1.2617e+03, 8.5291e-26, 4.5828e-18, 1.0194e-11, 2.0425e-07, 2.7533e-04, 9.9972e-01
1.3624e+03, 5.2414e-26, 3.0767e-18, 7.5133e-12, 1.6490e-07, 2.4885e-04, 9.9975e-01
1.4711e+03, 3.2303e-26, 2.0709e-18, 5.5497e-12, 1.3345e-07, 2.2529e-04, 9.9977e-01
1.5885e+03, 1.9959e-26, 1.3971e-18, 4.1070e-12, 1.0823e-07, 2.0425e-04, 9.9980e-01
1.7153e+03, 1.2360e-26, 9.4444e-19, 3.0446e-12, 8.7933e-08, 1.8538e-04, 9.9981e-01
1.8522e+03, 7.6732e-27, 6.3979e-19, 2.2608e-12, 7.1575e-08, 1.6845e-04, 9.9983e-01
2.0000e+03, 4.7757e-27, 4.3442e-19, 1.6818e-12, 5.8368e-08, 1.5324e-04, 9.9985e-01
