  200    /Ne: 8 photon emissivity coefficients/
--------------------------------------------------------------------------------
    1    1    1    1    1    1    1    1    1    1    1
--------------------------------------------------------------------------------
//#01/p00/ 00/p01/ 01/p02/ 02/p03/ 03/p04/ 04/p05/ 05/p06/ 06/p07/ 07/p08/ 08/  
      p09/ 09/p10/ 10/                                                          
--------------------------------------------------------------------------------
  127.368    6  20 /pl=01:ss= 8:pb= 1:sz= 8/type=EXCIT/ispb = t/isel =    1
 1.00E-74 1.00E-74 1.00E-74 1.31E-43 3.94E-34 6.14E-28 5.84E-24 1.88E-21
 6.82E-20 6.21E-19 2.35E-18 5.14E-18 7.97E-18 9.96E-18 1.09E-17 1.10E-17
 1.04E-17 9.62E-18 8.64E-18 7.70E-18
 1.00E-74 1.00E-74 1.00E-74 2.56E-44 1.71E-34 4.50E-28 5.02E-24 1.70E-21
 6.32E-20 5.81E-19 2.21E-18 4.85E-18 7.53E-18 9.42E-18 1.03E-17 1.04E-17
 9.91E-18 9.13E-18 8.22E-18 7.33E-18
 1.00E-74 1.00E-74 1.00E-74 1.31E-43 3.76E-34 5.94E-28 5.64E-24 1.80E-21
 6.56E-20 5.97E-19 2.26E-18 4.95E-18 7.68E-18 9.62E-18 1.05E-17 1.06E-17
 1.01E-17 9.35E-18 8.41E-18 7.51E-18
 1.00E-74 1.00E-74 1.00E-74 1.30E-43 3.70E-34 5.78E-28 5.45E-24 1.74E-21
 6.32E-20 5.75E-19 2.18E-18 4.79E-18 7.44E-18 9.34E-18 1.02E-17 1.03E-17
 9.89E-18 9.13E-18 8.23E-18 7.35E-18
 1.00E-74 1.00E-74 1.00E-74 1.36E-43 3.72E-34 5.51E-28 5.09E-24 1.61E-21
 5.84E-20 5.32E-19 2.02E-18 4.45E-18 6.95E-18 8.75E-18 9.64E-18 9.77E-18
 9.38E-18 8.70E-18 7.87E-18 7.05E-18
  129.409    6  20 /pl=01:ss= 8:pb= 1:sz= 8/type=EXCIT/ispb = t/isel =    4
 1.00E+10 1.00E+11 1.00E+12 1.00E+13 1.00E+14 1.00E+15
 5.00E+00 7.90E+00 1.25E+01 1.97E+01 3.12E+01 4.93E+01 7.80E+01 1.23E+02
