    6    /Ne: 9 photon emissivity coefficients/
--------------------------------------------------------------------------------
    1    1    1    1    1    1    1    1    1    1    1
--------------------------------------------------------------------------------
//#01/p00/ 00/p01/ 01/p02/ 02/p03/ 03/p04/ 04/p05/ 05/p06/ 06/p07/ 07/p08/ 08/  
      p09/ 09/p10/ 10/                                                          
--------------------------------------------------------------------------------
  128.059    6  20 /pl=01:ss= 9:pb= 1:sz= 9/type=EXCIT/ispb = t/isel =    1
 1.00E+10 1.00E+11 1.00E+12 1.00E+13 1.00E+14 1.00E+15
 5.00E+00 7.90E+00 1.25E+01 1.97E+01 3.12E+01 4.93E+01 7.80E+01 1.23E+02
 1.95E+02 3.08E+02 4.87E+02 7.70E+02 1.22E+03 1.92E+03 3.04E+03 4.81E+03
 7.60E+03 1.20E+04 1.90E+04 3.00E+04
 1.00E-74 1.00E-74 1.00E-74 6.00E-41 1.80E-30 7.38E-24 1.03E-19 4.04E-17
 1.63E-15 1.57E-14 6.15E-14 1.37E-13 2.18E-13 2.81E-13 3.20E-13 3.34E-13
 3.30E-13 3.14E-13 2.92E-13 2.67E-13
 1.00E-74 1.00E-74 1.00E-74 6.00E-41 1.80E-30 7.37E-24 1.03E-19 4.03E-17
 1.63E-15 1.57E-14 6.14E-14 1.37E-13 2.18E-13 2.81E-13 3.19E-13 3.33E-13
 3.29E-13 3.13E-13 2.92E-13 2.67E-13
 1.00E-74 1.00E-74 1.00E-74 5.99E-41 1.80E-30 7.36E-24 1.03E-19 4.02E-17
 1.62E-15 1.56E-14 6.12E-14 1.37E-13 2.17E-13 2.80E-13 3.18E-13 3.33E-13
 3.29E-13 3.13E-13 2.91E-13 2.67E-13
 1.00E-74 1.00E-74 1.00E-74 6.16E-41 1.78E-30 7.36E-24 1.03E-19 4.00E-17
 1.61E-15 1.55E-14 6.09E-14 1.36E-13 2.16E-13 2.79E-13 3.17E-13 3.31E-13
 3.27E-13 3.12E-13 2.90E-13 2.66E-13
 1.00E-74 1.00E-74 1.00E-74 6.06E-41 1.78E-30 7.32E-24 1.02E-19 3.97E-17
 1.60E-15 1.54E-14 6.04E-14 1.35E-13 2.14E-13 2.77E-13 3.15E-13 3.29E-13
 3.25E-13 3.10E-13 2.89E-13 2.65E-13
 1.00E-74 1.00E-74 1.00E-74 5.76E-41 1.82E-30 7.22E-24 1.01E-19 3.91E-17
 1.57E-15 1.51E-14 5.93E-14 1.33E-13 2.11E-13 2.72E-13 3.10E-13 3.25E-13
 3.22E-13 3.07E-13 2.86E-13 2.63E-13
  187.315    6  20 /pl=01:ss= 9:pb= 1:sz= 9/type=EXCIT/ispb = t/isel =    2
 1.00E+10 1.00E+11 1.00E+12 1.00E+13 1.00E+14 1.00E+15
 5.00E+00 7.90E+00 1.25E+01 1.97E+01 3.12E+01 4.93E+01 7.80E+01 1.23E+02
 1.95E+02 3.08E+02 4.87E+02 7.70E+02 1.22E+03 1.92E+03 3.04E+03 4.81E+03
 7.60E+03 1.20E+04 1.90E+04 3.00E+04
 1.00E-74 1.00E-74 1.00E-74 8.17E-40 1.40E-29 3.93E-23 4.40E-19 1.50E-16
 5.55E-15 5.06E-14 1.92E-13 4.24E-13 6.68E-13 8.59E-13 9.77E-13 1.03E-12
 1.02E-12 9.76E-13 9.14E-13 8.44E-13
 1.00E-74 1.00E-74 1.00E-74 8.17E-40 1.40E-29 3.93E-23 4.40E-19 1.50E-16
 5.54E-15 5.06E-14 1.92E-13 4.24E-13 6.67E-13 8.58E-13 9.76E-13 1.02E-12
 1.02E-12 9.76E-13 9.14E-13 8.44E-13
