   12    /C : 5 photon emissivity coefficients/
--------------------------------------------------------------------------------
    1    1    1    1    1    1    1
--------------------------------------------------------------------------------
//#01/p00/ 00/p01/ 01/p02/ 02/p03/ 03/p04/ 04/p05/ 05/p06/ 06/                  
--------------------------------------------------------------------------------
  120.495    6  20 /pl=01:ss= 5:pb= 1:sz= 5/type=EXCIT/ispb = t/isel =    1
 1.00E+10 1.00E+11 1.00E+12 1.00E+13 1.00E+14 1.00E+15
 5.00E+00 7.90E+00 1.25E+01 1.97E+01 3.12E+01 4.93E+01 7.80E+01 1.23E+02
 1.95E+02 3.08E+02 4.87E+02 7.70E+02 1.22E+03 1.92E+03 3.04E+03 4.81E+03
 7.60E+03 1.20E+04 1.90E+04 3.00E+04
 1.00E-74 2.51E-37 6.43E-28 5.49E-22 2.87E-18 5.97E-16 1.62E-14 1.21E-13
 4.07E-13 8.30E-13 1.24E-12 1.55E-12 1.72E-12 1.77E-12 1.73E-12 1.64E-12
 1.52E-12 1.39E-12 1.26E-12 1.14E-12
 1.00E-74 2.51E-37 6.40E-28 5.47E-22 2.85E-18 5.94E-16 1.61E-14 1.21E-13
 4.05E-13 8.25E-13 1.24E-12 1.54E-12 1.71E-12 1.76E-12 1.72E-12 1.63E-12
 1.51E-12 1.38E-12 1.25E-12 1.13E-12
 1.00E-74 2.51E-37 6.39E-28 5.45E-22 2.84E-18 5.91E-16 1.60E-14 1.20E-13
 4.02E-13 8.19E-13 1.23E-12 1.53E-12 1.70E-12 1.76E-12 1.72E-12 1.62E-12
 1.50E-12 1.38E-12 1.25E-12 1.13E-12
 1.00E-74 2.56E-37 6.32E-28 5.42E-22 2.81E-18 5.84E-16 1.58E-14 1.18E-13
 3.97E-13 8.09E-13 1.21E-12 1.52E-12 1.69E-12 1.74E-12 1.70E-12 1.61E-12
 1.49E-12 1.37E-12 1.24E-12 1.13E-12
 1.00E-74 2.50E-37 6.31E-28 5.35E-22 2.77E-18 5.72E-16 1.54E-14 1.15E-13
 3.87E-13 7.90E-13 1.19E-12 1.48E-12 1.65E-12 1.71E-12 1.67E-12 1.59E-12
 1.47E-12 1.35E-12 1.23E-12 1.11E-12
 1.00E-74 2.40E-37 6.32E-28 5.20E-22 2.67E-18 5.49E-16 1.47E-14 1.10E-13
 3.69E-13 7.52E-13 1.13E-12 1.42E-12 1.59E-12 1.64E-12 1.62E-12 1.54E-12
 1.43E-12 1.31E-12 1.20E-12 1.09E-12
  134.951    6  20 /pl=01:ss= 5:pb= 1:sz= 5/type=EXCIT/ispb = t/isel =    2
 1.00E+10 1.00E+11 1.00E+12 1.00E+13 1.00E+14 1.00E+15
 5.00E+00 7.90E+00 1.25E+01 1.97E+01 3.12E+01 4.93E+01 7.80E+01 1.23E+02
 1.95E+02 3.08E+02 4.87E+02 7.70E+02 1.22E+03 1.92E+03 3.04E+03 4.81E+03
 7.60E+03 1.20E+04 1.90E+04 3.00E+04
 1.00E-74 2.36E-36 3.64E-27 2.24E-21 9.56E-18 1.76E-15 4.42E-14 3.17E-13
 1.03E-12 2.07E-12 3.10E-12 3.86E-12 4.30E-12 4.46E-12 4.39E-12 4.19E-12
 3.92E-12 3.62E-12 3.31E-12 3.02E-12
 1.00E-74 2.36E-36 3.64E-27 2.23E-21 9.54E-18 1.75E-15 4.41E-14 3.15E-13
 1.03E-12 2.06E-12 3.09E-12 3.84E-12 4.29E-12 4.44E-12 4.38E-12 4.18E-12
 3.91E-12 3.61E-12 3.31E-12 3.02E-12
 1.00E-74 2.36E-36 3.63E-27 2.23E-21 9.52E-18 1.75E-15 4.39E-14 3.14E-13
